Product.Description,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020
Product 1,1370,1528,1101,738,1229,1451,879,1505,1375,1146,1325,1156,1081,1258,894,700,1289,1207,926,1476,1254,1111,1175,881,916,1225,682,739,1056,1117,727,1233,839,862,862,702,740,934,603,468,903
Product 2,461,812,796,1010,904,721,665,537,1275,589,538,704,379,1302,1741,1098,939,764,1413,781,950,1007,534,570,567,1353,1212,1122,1135,1261,1046,931,695,849,644,635,1753,1506,1826,1618,1382
Product 3,765,927,1412,717,800,906,596,713,642,695,577,741,677,783,1400,620,693,713,618,536,610,596,544,1281,882,3304,738,722,657,841,629,683,543,680,538,777,633,750,578,683,704
Product 4,,,,,,96,55,106,47,35,15,48,19,46,19,39,53,51,52,59,51,56,50,97,79,97,65,97,73,108,106,96,93,122,88,124,130,187,136,141,132
Product 5,4496,5681,3838,5385,5150,6203,4827,5695,5758,3147,3929,4781,5675,5816,5097,5100,5126,6456,6129,5303,6083,4861,2370,5649,6551,5800,4791,6390,6570,6569,5980,6135,5581,5405,2380,8031,6108,6079,4702,6828,5717
Product 6,1623,1522,2306,1416,2214,2538,1841,1982,2749,1929,626,1280,1215,2693,1564,1936,1949,1923,1810,2187,2296,1671,1049,1229,1880,2041,1935,1617,1821,1940,1905,1699,2255,1853,522,1682,2261,1523,3210,1764,2230
Product 7,950,817,294,489,682,636,981,471,26,532,191,93,628,568,695,881,812,663,707,28,834,778,641,40,644,434,28,618,288,733,430,904,690,964,171,114,648,337,121,205,842
Product 8,230,966,920,409,134,234,262,716,929,619,399,712,200,259,273,431,531,946,278,662,55,77,984,580,133,846,696,22,258,306,939,168,772,236,552,628,671,253,689,303,417
Product 9,143,108,776,439,283,485,492,223,517,966,526,399,485,539,841,542,576,704,831,165,390,535,530,286,125,665,488,851,262,307,735,407,827,124,36,20,549,455,327,144,815
Product 10,720,514,814,227,817,908,33,228,350,310,868,175,68,996,572,661,572,33,454,924,963,26,69,550,647,454,876,94,144,974,510,633,735,217,95,147,512,372,439,73,175
Product 11,106,469,836,293,771,,,,,,,852,648,36,527,88,292,324,427,781,857,694,825,430,240,941,260,286,118,484,414,716,633,332,362,422,494,857,864,930,494
Product 12,512,59,992,718,474,,,,,,,906,1000,468,246,757,308,645,293,385,421,180,303,883,816,897,377,516,628,416,430,808,254,268,26,892,279,13,806,446,755
Product 13,752,612,574,335,20,,,,,,,675,713,373,134,7,722,960,648,620,627,370,670,839,226,686,644,558,398,655,194,511,330,536,843,829,825,817,192,731,586
Product 14,295,37,934,636,697,,,,,,,967,845,956,888,557,856,455,854,269,319,553,525,684,753,634,704,554,809,920,180,38,531,624,214,670,682,351,589,885,605
Product 15,599,236,695,540,917,,,,,,,256,911,402,88,289,581,892,202,915,41,723,38,367,206,813,675,316,608,984,834,308,553,454,127,881,628,992,500,263,5
Product 16,891,21,172,268,41,,,,,,,6,617,906,593,416,566,101,555,979,380,729,774,812,32,846,717,144,968,932,137,970,974,86,460,391,804,267,683,250,836
Product 17,718,79,322,875,307,197,180,968,312,986,384,920,603,103,958,75,793,281,707,373,551,581,829,891,853,673,970,674,965,993,332,497,857,192,665,467,540,66,1,968,670
Product 18,282,895,713,60,618,881,177,814,701,182,837,337,854,607,778,525,540,651,240,248,699,910,434,549,498,163,10,821,284,502,866,319,715,435,722,640,624,991,548,261,588
Product 19,221,453,29,445,143,901,640,889,341,371,413,633,366,167,141,832,600,107,25,314,5,207,504,824,273,592,24,516,17,306,977,235,754,630,109,625,995,365,123,712,450
Product 20,915,617,21,324,534,758,270,880,175,848,949,475,520,503,518,343,787,374,301,555,53,89,951,289,938,445,870,559,965,259,288,106,277,970,52,258,688,936,119,324,414
Product 21,574,534,933,270,585,932,161,223,633,90,127,402,382,388,863,197,262,978,986,447,357,151,925,650,293,701,289,550,656,749,440,266,830,477,109,267,557,359,818,997,222
Product 22,659,625,294,297,901,393,82,274,996,155,168,217,278,236,101,457,53,897,859,867,289,7,370,185,507,163,821,304,152,104,966,101,288,134,682,165,241,40,440,341,21
Product 23,538,499,486,402,495,318,109,286,509,106,987,11,927,347,100,457,839,96,120,59,984,457,577,730,836,728,648,473,523,70,287,853,896,963,995,190,740,880,129,542,152
Product 24,787,484,693,426,883,714,34,57,942,597,758,167,4,474,443,932,604,616,149,617,30,776,216,366,472,600,621,527,662,959,730,568,647,805,68,414,868,4,252,564,592
Product 25,629,260,617,223,341,487,144,394,581,590,699,101,396,79,46,916,615,59,460,519,778,752,937,671,903,219,659,753,144,200,144,271,448,879,457,333,804,612,64,336,152
Product 26,938,940,891,607,748,451,61,588,907,381,910,630,283,542,364,869,973,406,901,411,571,596,891,477,595,399,345,408,623,982,566,516,155,669,17,612,331,812,792,91,781
Product 27,756,892,101,236,891,939,786,544,57,40,964,672,486,259,927,20,631,816,105,64,149,749,799,606,974,55,137,60,335,708,116,376,712,991,887,188,951,478,802,642,796
Product 28,681,526,494,374,355,438,120,569,688,326,650,456,525,314,451,366,197,468,556,174,863,828,496,673,574,392,404,251,823,55,820,164,957,532,492,457,521,838,574,586,434
Product 29,678,922,158,877,905,283,711,27,468,475,528,632,777,538,997,372,271,696,915,753,628,251,679,634,288,574,473,385,975,355,215,477,110,296,638,449,72,421,291,908,530
Product 30,508,870,984,67,270,495,251,580,837,219,395,526,241,309,54,894,446,840,148,341,501,699,157,394,935,337,167,952,816,209,580,714,236,741,423,366,892,111,510,9,730
Product 31,539,686,550,800,100,366,958,943,801,650,453,473,254,914,380,538,828,667,623,579,672,846,527,251,4,192,800,356,759,650,512,347,410,343,17,446,60,663,748,310,751
Product 32,811,992,579,813,241,258,235,860,660,64,367,278,633,956,240,917,530,380,805,146,286,277,19,80,892,788,893,866,693,626,236,80,431,528,326,439,876,906,982,969,632
Product 33,194,88,722,316,438,877,762,797,301,106,224,110,759,95,210,909,211,641,23,862,152,646,417,396,157,673,457,232,306,760,949,290,419,761,856,306,920,246,320,710,549
Product 34,171,553,69,230,495,893,335,312,964,335,144,514,571,295,96,28,351,61,588,33,1000,153,327,78,45,58,687,74,443,389,205,580,86,19,918,805,155,147,165,615,375
Product 35,625,833,69,127,892,787,628,494,291,814,502,118,460,564,451,581,516,501,748,609,870,32,102,194,595,646,817,308,494,304,377,895,791,361,865,984,421,753,395,578,183
Product 36,473,671,982,172,565,835,672,724,16,148,751,380,329,988,316,105,463,266,757,517,280,416,489,668,524,197,952,266,436,657,783,672,953,436,286,610,791,566,543,170,917
Product 37,298,309,94,812,529,252,804,369,736,851,284,979,510,266,622,274,585,401,741,193,33,43,482,61,769,884,249,645,518,639,947,815,467,209,593,381,658,648,758,996,508
Product 38,55,569,336,120,407,359,304,205,341,225,762,138,912,356,607,161,79,295,430,58,160,691,590,142,973,935,231,804,861,547,171,323,753,995,124,39,58,930,486,407,319
Product 39,853,89,385,680,401,21,305,254,884,507,633,25,559,570,413,489,276,997,994,555,12,500,570,380,666,949,94,169,698,369,983,731,506,473,264,150,681,639,48,417,963
Product 40,709,566,988,160,133,395,967,745,12,899,33,594,333,574,342,630,970,632,986,237,137,703,635,723,877,940,601,904,114,822,808,142,113,643,10,767,405,813,234,118,355
Product 41,536,866,214,450,838,199,750,623,384,625,123,923,913,292,616,258,861,768,228,164,864,119,783,149,922,802,952,525,218,278,189,231,545,56,771,769,818,244,268,342,291
Product 42,90,5,288,633,921,837,824,97,989,610,588,426,202,826,704,129,38,158,589,483,680,610,36,343,160,895,933,456,933,535,101,737,335,593,87,889,990,609,999,751,379
Product 43,643,410,368,54,265,823,120,152,690,659,735,353,269,847,867,281,806,753,541,504,475,12,197,741,656,628,999,708,122,499,434,533,3,28,925,147,784,872,848,563,771
Product 44,83,685,74,40,451,377,342,43,49,472,242,203,93,892,539,639,247,360,303,59,924,807,797,238,678,231,630,832,712,653,397,696,95,538,504,684,538,333,366,986,218
Product 45,917,240,457,456,429,824,638,636,667,55,730,769,560,350,832,523,23,908,727,120,798,981,512,396,346,728,13,287,629,739,143,924,151,179,825,814,149,381,312,794,693
Product 46,314,612,807,185,893,508,613,673,700,945,96,675,761,359,220,444,599,841,965,402,231,804,117,334,897,691,614,660,799,880,462,458,342,103,156,21,751,427,750,376,622
Product 47,19,118,195,871,577,727,579,445,586,119,528,995,372,887,359,880,846,502,857,952,749,199,780,248,430,994,173,15,925,653,912,430,412,46,73,869,500,332,939,456,105
Product 48,275,631,600,314,127,351,460,745,497,102,615,629,518,84,772,467,390,614,961,322,673,379,729,170,720,1,737,367,184,346,8,407,707,158,92,621,756,404,13,122,894
Product 49,594,407,4,647,165,107,902,514,29,653,476,535,221,125,29,323,157,114,522,513,650,888,203,152,801,448,324,48,943,776,872,99,605,784,494,173,993,401,268,823,280
Product 50,200,98,917,426,363,223,692,387,609,773,214,799,258,141,941,698,238,693,356,918,449,817,598,838,620,664,373,272,673,926,879,526,375,382,432,572,603,727,459,210,179
Product 51,413,219,573,664,413,106,490,765,401,431,443,466,613,766,398,599,926,156,534,800,15,714,496,400,996,680,904,162,942,20,475,500,332,137,431,90,652,22,376,870,818
Product 52,3,761,93,244,367,873,182,31,220,723,304,486,658,637,82,671,52,372,643,734,523,721,820,650,883,64,668,616,769,789,901,221,818,467,772,959,125,617,575,487,111
Product 53,95,587,349,279,71,316,791,866,885,218,782,146,375,741,130,691,682,42,943,249,649,613,769,874,142,189,20,596,229,417,889,885,384,226,652,98,943,396,287,797,265
Product 54,27,858,359,59,590,867,460,481,287,781,915,350,5,564,530,843,722,570,80,168,796,467,954,373,325,157,3,409,178,735,55,478,638,506,908,587,697,170,98,848,349
Product 55,977,595,276,285,67,251,403,60,250,441,71,683,138,183,821,347,869,290,122,770,665,245,598,905,342,460,91,708,271,708,626,941,933,272,505,248,198,128,332,47,883
Product 56,494,870,802,462,23,773,697,301,515,541,286,84,569,803,579,626,371,197,162,311,296,359,66,961,55,26,929,82,60,271,436,443,285,48,214,116,546,90,373,940,212
Product 57,102,879,228,954,264,488,947,431,535,36,87,647,870,90,249,320,192,968,782,768,204,204,772,212,243,861,124,830,236,162,936,58,893,92,158,458,20,150,481,437,730
Product 58,13,776,631,642,738,443,541,373,601,802,527,650,601,986,536,212,907,699,197,574,400,75,170,706,486,351,113,997,996,876,906,344,724,874,903,757,125,995,404,522,58
Product 59,638,139,85,537,440,104,948,191,723,31,814,979,829,512,647,504,388,794,793,352,658,706,154,967,342,504,861,781,509,24,904,457,820,0,707,423,82,265,902,284,879
Product 60,345,744,594,428,369,921,521,514,628,816,994,432,544,512,772,190,722,585,414,312,8,379,888,83,237,932,909,262,937,381,528,227,388,61,324,10,618,851,822,917,637
Product 61,620,194,248,658,81,97,734,169,340,625,481,961,361,783,178,302,328,590,692,575,389,521,211,659,431,738,184,482,614,829,693,706,297,100,363,13,753,930,355,520,345
Product 62,892,932,824,469,775,745,285,214,316,768,838,167,940,676,828,835,529,275,288,727,560,257,207,926,337,415,705,69,510,240,152,342,127,805,146,502,732,817,860,110,44
Product 63,165,127,149,419,827,396,392,313,634,48,15,507,701,497,717,100,635,931,935,963,894,463,446,428,688,567,242,725,109,29,223,893,539,631,871,719,805,604,599,734,139
Product 64,407,765,587,94,238,505,908,617,28,624,240,1,527,644,633,766,196,596,486,775,818,514,938,980,760,631,599,841,353,61,691,179,729,756,209,894,56,166,479,901,85
Product 65,108,679,293,896,338,183,811,131,832,498,598,167,753,22,930,424,638,27,708,114,197,787,176,733,661,161,836,598,195,31,346,955,771,88,679,733,632,330,720,690,845
Product 66,645,135,414,460,502,640,117,949,985,0,375,277,531,68,661,805,516,425,353,319,796,548,626,403,674,709,914,577,237,334,231,696,13,35,929,813,594,290,779,287,655
Product 67,339,433,943,22,810,664,186,124,617,309,446,118,25,285,527,104,508,60,355,269,220,825,716,838,686,647,756,841,112,615,189,775,91,982,911,300,790,320,717,986,851
Product 68,940,976,597,855,418,243,91,662,845,737,241,559,933,179,559,321,884,522,666,477,626,595,920,800,539,206,292,114,572,765,21,567,390,214,869,128,312,470,860,65,490
Product 69,363,34,874,308,50,812,715,576,396,741,805,998,210,962,984,972,702,262,367,621,762,58,536,361,141,375,619,506,935,587,978,293,19,386,676,873,790,516,231,965,392
Product 70,936,267,717,622,667,761,208,110,420,447,307,866,549,385,910,700,734,265,659,256,589,83,904,35,178,766,113,952,279,560,404,669,631,406,330,522,145,702,934,260,144
Product 71,385,260,343,778,289,578,975,729,522,707,235,495,855,655,395,971,862,651,903,359,261,119,854,325,70,634,747,780,299,263,619,953,852,509,789,125,218,184,306,143,442
Product 72,800,265,493,135,479,789,659,83,169,443,325,248,554,638,284,217,293,772,682,363,296,606,221,769,149,612,143,393,604,374,291,979,801,680,656,523,238,613,781,779,461
Product 73,840,852,557,176,425,292,228,458,63,835,253,81,653,275,51,608,76,473,271,167,790,15,272,844,965,546,605,648,333,87,835,569,756,984,543,732,161,702,150,770,299
Product 74,599,664,100,766,728,58,284,48,563,913,25,195,286,591,211,526,565,42,509,756,141,906,540,218,728,587,78,199,42,416,61,248,433,103,978,352,536,874,32,454,336
Product 75,127,367,389,238,100,202,566,967,862,500,775,393,904,782,849,883,695,339,679,771,928,997,437,356,391,135,865,658,191,293,927,720,887,675,121,879,61,163,852,433,593
Product 76,98,856,80,219,164,692,211,602,81,56,928,168,457,187,473,925,785,88,328,545,20,78,670,980,718,832,433,41,362,424,232,792,275,886,528,0,548,607,959,139,577
Product 77,922,695,306,686,294,356,270,836,648,412,341,549,175,382,290,5,670,398,499,680,316,557,191,913,891,633,151,914,196,828,705,344,777,987,400,283,815,29,257,29,487
Product 78,484,172,574,150,730,569,534,958,167,50,301,66,799,639,572,242,330,717,788,950,317,25,783,770,386,4,459,741,673,770,534,834,420,196,496,222,935,504,302,780,774
Product 79,886,854,618,770,73,117,792,999,789,252,803,624,209,515,995,194,171,859,878,205,552,330,382,509,410,188,459,498,539,281,171,737,701,578,297,556,29,270,160,674,890
Product 80,893,204,118,566,145,64,147,140,66,197,782,638,264,852,101,529,204,770,60,701,211,809,348,775,224,897,263,997,78,47,986,150,73,102,65,844,461,885,395,881,17
Product 81,779,318,469,538,737,549,647,896,145,721,617,538,509,681,670,386,758,951,384,464,99,179,501,317,590,699,762,84,840,811,206,971,968,491,914,697,146,439,75,64,940
Product 82,738,106,788,396,22,631,470,708,499,585,865,198,931,39,875,583,898,662,979,726,118,671,8,319,772,622,272,852,335,679,256,448,985,851,816,479,885,142,631,695,703
Product 83,9,758,41,678,454,342,511,883,863,566,355,117,640,678,392,428,112,447,125,362,537,617,115,665,139,632,337,899,896,332,457,400,346,464,119,2,99,143,510,456,576
