Country,Product.Description,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020
France,Product 1,1370,1528,1101,738,1229,1451,879,1505,1375,1146,1325,1156,1081,1258,894,700,1289,1207,926,1476,1254,1111,1175,881,916,1225,682,739,1056,1117,727,1233,839,862,862,702,740,934,603,468,903
France,Product 2,461,812,796,1010,904,721,665,537,1275,589,538,704,379,1302,1741,1098,939,764,1413,781,950,1007,534,570,567,1353,1212,1122,1135,1261,1046,931,695,849,644,635,1753,1506,1826,1618,1382
France,Product 3,765,927,1412,717,800,906,596,713,642,695,577,741,677,783,1400,620,693,713,618,536,610,596,544,1281,882,3304,738,722,657,841,629,683,543,680,538,777,633,750,578,683,704
France,Product 4,,,,,,96,55,106,47,35,15,48,19,46,19,39,53,51,52,59,51,56,50,97,79,97,65,97,73,108,106,96,93,122,88,124,130,187,136,141,132
France,Product 5,4496,5681,3838,5385,5150,6203,4827,5695,5758,3147,3929,4781,5675,5816,5097,5100,5126,6456,6129,5303,6083,4861,2370,5649,6551,5800,4791,6390,6570,6569,5980,6135,5581,5405,2380,8031,6108,6079,4702,6828,5717
France,Product 6,1623,1522,2306,1416,2214,2538,1841,1982,2749,1929,626,1280,1215,2693,1564,1936,1949,1923,1810,2187,2296,1671,1049,1229,1880,2041,1935,1617,1821,1940,1905,1699,2255,1853,522,1682,2261,1523,3210,1764,2230
France,Product 7,950,817,294,489,682,636,981,471,26,532,191,93,628,568,695,881,812,663,707,28,834,778,641,40,644,434,28,618,288,733,430,904,690,964,171,114,648,337,121,205,842
France,Product 8,230,966,920,409,134,234,262,716,929,619,399,712,200,259,273,431,531,946,278,662,55,77,984,580,133,846,696,22,258,306,939,168,772,236,552,628,671,253,689,303,417
France,Product 9,143,108,776,439,283,485,492,223,517,966,526,399,485,539,841,542,576,704,831,165,390,535,530,286,125,665,488,851,262,307,735,407,827,124,36,20,549,455,327,144,815
France,Product 10,720,514,814,227,817,908,33,228,350,310,868,175,68,996,572,661,572,33,454,924,963,26,69,550,647,454,876,94,144,974,510,633,735,217,95,147,512,372,439,73,175
France,Product 11,106,469,836,293,771,,,,,,,852,648,36,527,88,292,324,427,781,857,694,825,430,240,941,260,286,118,484,414,716,633,332,362,422,494,857,864,930,494
France,Product 12,512,59,992,718,474,,,,,,,906,1000,468,246,757,308,645,293,385,421,180,303,883,816,897,377,516,628,416,430,808,254,268,26,892,279,13,806,446,755
France,Product 13,752,612,574,335,20,,,,,,,675,713,373,134,7,722,960,648,620,627,370,670,839,226,686,644,558,398,655,194,511,330,536,843,829,825,817,192,731,586
France,Product 14,295,37,934,636,697,,,,,,,967,845,956,888,557,856,455,854,269,319,553,525,684,753,634,704,554,809,920,180,38,531,624,214,670,682,351,589,885,605
France,Product 15,599,236,695,540,917,,,,,,,256,911,402,88,289,581,892,202,915,41,723,38,367,206,813,675,316,608,984,834,308,553,454,127,881,628,992,500,263,5
